won,points
1,59
1,55
1,70
1,57
0,76
1,42
1,56
0,28
1,68
1,65
0,33
1,67
1,63
1,73
1,71
1,77
1,63
1,79
0,48
1,59
1,31
1,66
1,42
1,44
1,47
1,61
1,53
0,46
1,88
1,64
1,56
0,47
1,43
0,43
1,59
1,65
1,73
1,41
1,78
0,39
1,68
1,73
1,42
1,63
1,74
1,78
1,44
0,41
0,44
1,72
1,50
1,41
1,31
1,72
1,95
1,54
1,62
1,72
1,91
1,55
1,55
1,46
0,48
0,60
1,59
1,44
1,67
0,41
1,57
1,62
1,85
0,51
1,102
0,55
1,67
1,67
1,74
0,62
0,50
1,51
1,57
1,48
1,91
1,65
1,51
0,47
0,33
0,57
1,57
1,40
1,56
1,47
1,55
1,65
1,57
1,79
1,62
1,37
0,54
1,79
0,48
0,59
1,74
1,79
1,44
1,65
1,49
1,65
1,67
1,77
1,65
1,50
1,56
1,63
0,64
1,56
0,47
1,66
0,48
1,32
0,44
1,48
1,42
0,54
1,69
1,66
1,72
0,32
1,65
0,50
1,72
0,40
1,56
1,73
1,62
1,58
0,76
1,62
0,53
1,79
1,85
0,27
0,44
1,56
0,54
1,82
1,80
1,37
1,63
0,47
1,70
0,54
1,82
1,63
1,43
1,66
1,88
0,42
0,53
1,55
1,94
0,60
1,73
1,55
1,78
1,79
0,32
1,79
1,42
1,84
1,38
1,49
1,90
1,57
1,64
0,55
1,39
1,57
1,43
1,74
1,68
1,64
1,59
0,23
1,70
1,42
0,11
1,52
0,61
1,73
1,49
1,60
0,47
0,46
1,72
1,59
1,69
0,37
1,76
0,69
1,97
1,38
1,63
1,94
1,58
0,67
1,55
1,85
1,50
1,66
1,64
0,49
1,46
1,110
1,52
1,88
1,59
1,52
1,50
1,63
1,93
1,61
1,53
1,46
1,55
1,82
1,73
0,17
1,73
1,71
1,67
1,50
0,42
1,67
1,61
1,64
1,47
1,57
1,76
1,59
0,40
1,58
1,58
1,57
1,84
0,47
0,52
0,58
1,61
1,62
0,42
1,66
1,43
1,57
1,44
1,63
1,55
0,41
1,51
1,69
1,53
1,76
1,57
0,71
1,47
1,84
0,71
1,76
0,39
1,91
1,59
1,47
1,72
1,60
1,45
1,64
1,63
1,38
1,76
1,38
0,61
1,40
1,45
1,61
1,84
1,86
1,25
1,90
1,72
0,40
0,57
1,54
1,51
1,70
1,65
1,88
1,60
1,63
0,67
1,49
0,46
1,127
1,47
1,67
1,63
1,64
0,38
1,51
1,66
1,52
0,56
1,99
1,51
1,55
1,52
0,47
1,70
1,53
1,44
1,94
1,59
1,64
1,72
1,54
1,63
0,59
1,46
1,57
1,56
1,63
1,70
1,72
1,79
1,46
1,63
0,29
1,47
1,67
1,75
1,98
0,49
0,50
0,28
1,68
1,51
1,51
1,49
1,77
1,47
1,50
1,60
0,41
0,51
1,42
0,50
1,92
1,65
1,44
1,43
1,76
1,40
1,67
0,30
1,65
1,57
1,42
1,87
1,48
1,62
1,69
1,74
0,24
1,36
1,61
0,46
0,58
1,39
1,78
1,83
1,64
1,43
1,33
1,80
1,49
1,68
1,60
1,69
1,43
1,52
1,74
1,48
1,65
1,44
1,47
0,47
1,77
1,54
1,66
1,63
1,101
1,63
0,49
0,38
1,76
1,77
1,59
1,55
1,71
1,48
1,70
1,63
1,57
1,67
1,52
1,74
1,71
1,63
1,56
1,69
1,47
1,62
1,63
0,44
1,58
0,63
1,70
0,11
1,62
1,52
1,91
0,52
1,63
1,50
1,53
1,40
1,46
1,41
0,60
1,88
1,50
1,47
0,33
1,83
1,71
1,49
1,101
1,71
0,38
1,62
1,52
1,75
1,85
1,65
0,53
1,96
1,55
1,120
1,37
1,56
1,56
1,63
1,47
1,89
1,51
1,67
1,66
1,58
1,44
1,53
1,80
1,52
1,64
1,76
1,80
1,81
1,72
1,44
1,66
1,72
1,65
0,50
1,67
1,81
1,51
1,62
1,67
1,50
1,41
1,54
1,58
0,38
0,53
1,75
1,58
0,33
1,42
0,49
1,66
1,79
1,41
