won,points
1,62
1,53
1,53
1,72
1,67
1,71
1,71
1,57
1,76
1,72
1,68
1,75
1,68
1,67
1,71
1,65
1,63
1,67
1,81
1,84
1,69
0,52
1,57
1,54
1,79
1,65
1,44
1,67
1,59
1,85
1,64
1,76
0,43
1,66
1,73
1,71
1,74
1,75
1,57
1,59
1,70
1,55
1,53
1,55
1,69
1,44
1,75
1,55
1,72
1,75
1,63
1,86
1,82
1,66
1,52
1,70
1,51
1,52
1,64
1,70
0,72
1,87
1,65
1,63
1,41
1,73
1,86
1,61
1,64
0,53
1,54
1,56
1,61
1,43
1,69
1,62
1,57
0,32
1,82
1,68
1,58
0,47
0,51
1,36
1,78
1,56
1,97
1,59
0,68
1,51
1,57
1,62
1,42
1,47
1,53
1,63
1,52
1,65
1,59
1,63
1,87
1,87
1,51
0,56
1,56
0,46
0,54
1,69
1,48
1,64
1,81
1,53
1,56
1,65
1,64
0,46
1,53
1,55
0,73
1,64
1,64
1,81
0,51
1,76
1,71
1,77
1,57
1,58
1,63
1,54
1,52
0,56
1,62
1,85
1,73
1,44
1,52
1,41
1,52
0,71
1,68
1,82
1,60
1,72
1,78
1,63
1,50
1,65
1,61
1,67
1,60
1,51
1,60
1,64
1,77
1,56
1,69
1,76
1,69
1,74
1,59
1,65
1,53
1,68
1,82
1,84
1,70
1,65
1,51
1,85
1,59
1,71
1,71
1,87
1,92
1,50
1,59
0,36
1,72
1,72
1,65
1,71
1,67
1,60
1,75
1,69
1,46
1,62
1,53
1,47
1,66
0,39
1,89
1,63
1,88
0,52
1,90
1,53
1,69
1,68
1,73
1,50
1,85
1,62
0,69
1,59
1,69
0,66
1,58
1,73
1,62
1,80
1,81
1,59
0,45
1,91
1,62
1,89
1,44
0,55
1,61
1,69
1,89
1,76
1,65
1,41
1,59
1,93
1,60
0,34
1,76
1,83
1,76
1,60
1,77
1,59
1,92
1,50
1,46
1,60
0,25
1,55
0,51
1,62
1,70
0,30
0,43
1,67
1,45
1,79
1,75
1,48
1,52
1,83
1,72
1,49
1,92
1,74
1,64
1,81
1,69
1,62
0,73
1,87
1,41
1,66
1,77
1,53
1,74
1,63
1,71
1,61
1,87
1,58
1,43
1,80
1,74
1,66
1,72
0,56
1,45
1,66
1,77
1,63
1,72
1,67
0,23
1,51
1,60
1,56
1,66
1,76
1,70
1,73
1,53
1,61
0,30
1,76
1,58
1,74
1,64
0,54
1,62
1,65
1,66
1,62
1,54
1,76
0,55
1,74
1,84
1,63
1,57
1,48
1,52
1,73
1,75
1,36
0,51
1,59
1,50
1,71
1,59
1,67
1,54
1,56
1,59
1,55
1,76
1,42
1,87
1,55
1,70
0,42
1,74
1,67
1,63
1,69
1,58
1,60
1,47
1,75
1,85
1,65
1,49
1,51
1,60
1,79
1,57
1,62
1,106
1,54
1,84
1,55
1,58
1,65
0,52
1,47
1,54
1,50
1,70
1,41
1,102
1,39
1,61
1,78
1,40
1,76
1,71
1,70
1,64
0,72
1,45
1,69
0,64
0,45
1,79
1,72
1,82
1,80
1,73
1,36
1,49
1,85
1,63
1,70
0,54
1,59
1,61
1,60
1,76
1,64
0,43
1,82
1,95
1,67
1,48
1,71
1,62
1,59
1,62
1,54
1,45
0,65
1,87
1,67
1,83
1,49
1,40
0,50
1,79
1,42
1,73
1,72
1,90
1,40
1,64
1,59
1,60
1,65
1,60
1,59
1,83
1,70
1,63
1,61
1,73
1,76
0,50
1,56
1,77
1,36
1,64
1,71
1,66
1,57
1,62
1,57
1,60
0,83
1,63
1,61
1,56
0,58
1,57
1,85
1,87
0,45
1,61
1,100
1,82
0,51
1,68
1,75
1,58
1,55
1,43
1,69
1,58
1,63
1,65
1,56
1,44
1,60
1,60
1,67
1,60
1,53
1,43
1,72
1,61
1,92
1,71
1,64
1,63
1,47
1,41
1,49
0,59
1,71
1,62
1,91
1,55
1,75
1,53
1,67
1,47
1,46
1,64
1,73
1,70
1,93
1,61
1,53
1,82
1,61
0,58
1,72
1,67
1,69
