won,points
1,46
1,31
1,66
0,54
1,48
0,47
1,33
1,59
1,44
0,40
0,48
1,44
1,78
1,86
0,39
1,53
0,59
0,38
1,36
1,59
1,35
0,45
1,71
0,52
1,78
1,40
1,69
1,47
1,53
1,43
1,49
1,68
1,69
1,53
0,44
1,55
0,41
1,83
1,61
1,52
1,81
1,62
1,70
1,60
0,51
0,63
0,46
1,63
1,61
0,53
1,58
0,33
1,62
1,43
1,57
1,70
1,52
1,75
1,62
0,64
0,43
0,22
1,45
0,0
1,67
1,62
1,54
1,60
1,63
1,58
1,57
1,68
1,60
1,46
1,62
0,60
1,57
1,38
1,102
1,63
1,67
1,75
1,58
1,58
1,42
1,75
0,34
1,49
0,53
1,59
0,46
1,52
1,60
1,88
1,31
1,64
1,38
1,66
1,77
1,62
1,72
1,70
1,60
1,58
1,39
0,55
1,61
1,68
1,53
0,25
0,38
1,52
1,63
0,55
0,71
1,56
1,76
0,50
1,47
1,76
1,80
0,31
1,68
0,47
1,66
0,47
1,55
0,30
1,54
1,54
1,65
1,38
1,49
1,79
1,66
1,69
0,47
1,76
1,66
1,88
1,69
0,58
1,52
0,56
1,74
1,39
1,78
0,30
1,54
1,75
1,55
1,76
1,70
0,55
1,47
1,46
1,87
1,66
1,59
1,58
1,66
1,82
0,48
1,36
1,55
1,54
0,33
1,56
1,68
1,73
1,61
1,71
1,42
1,45
1,58
0,44
1,63
1,47
1,47
0,57
1,69
1,72
0,41
0,29
1,57
0,34
1,65
1,48
1,53
0,37
1,47
0,25
1,67
1,72
1,89
1,51
1,58
1,52
1,66
1,60
1,56
1,73
1,60
1,80
1,54
1,86
1,55
1,62
1,73
1,47
1,53
1,83
1,81
1,77
0,41
0,43
1,76
1,58
1,76
1,49
0,35
1,55
0,52
1,46
1,65
1,72
1,48
1,55
1,63
0,51
0,45
0,43
1,58
1,62
0,41
1,62
1,61
1,84
1,52
1,61
0,52
1,47
1,53
1,76
1,68
1,71
1,53
1,38
1,63
1,52
1,50
1,56
1,57
1,63
0,38
1,55
0,38
1,61
0,33
1,63
1,86
0,54
1,74
0,41
1,56
1,46
1,79
1,69
1,52
1,46
0,58
0,39
1,38
0,48
1,58
1,49
1,28
1,68
0,55
1,77
0,59
1,54
1,49
1,50
1,61
0,34
1,39
1,52
1,33
0,36
1,86
1,62
1,54
1,73
1,63
1,47
1,51
0,30
1,67
1,65
1,54
0,35
1,57
1,83
1,62
1,76
1,64
1,52
1,66
0,44
0,24
1,71
1,60
1,65
1,68
1,54
1,86
1,53
0,35
0,45
1,57
1,54
1,68
1,66
1,64
0,69
1,62
0,46
0,32
0,43
1,69
1,62
1,63
1,70
1,54
1,39
1,66
0,37
0,52
0,47
1,65
1,76
1,83
0,60
1,94
1,65
1,69
1,65
1,55
1,66
1,37
0,69
1,38
1,64
1,55
0,55
1,68
1,65
0,60
1,67
1,58
1,53
1,55
1,74
1,49
1,68
1,78
1,93
0,48
1,36
0,35
1,66
1,65
1,35
0,57
1,59
0,75
1,43
1,76
1,94
1,46
1,67
1,78
1,68
1,60
1,44
1,63
0,49
0,46
1,82
1,88
1,50
0,49
0,30
1,38
1,65
1,63
1,61
1,58
1,57
1,69
1,56
0,35
1,63
1,81
1,69
0,36
1,42
0,50
1,86
1,60
1,50
0,45
1,37
1,76
1,76
0,69
1,61
1,45
1,81
1,58
1,61
0,50
1,90
1,78
1,53
0,36
0,52
1,54
1,55
1,60
1,29
1,85
1,75
1,57
1,74
0,49
1,56
1,77
1,63
1,41
1,63
1,44
1,28
1,47
1,69
0,58
0,51
1,41
0,74
1,53
1,42
1,53
1,42
1,65
1,97
0,32
1,60
0,61
1,92
1,64
1,64
0,53
1,43
1,66
1,73
1,59
1,52
1,59
1,43
1,71
0,14
0,40
0,44
1,72
0,36
1,22
1,82
1,41
1,34
0,83
1,81
0,27
0,27
1,70
0,32
1,60
1,52
1,61
1,62
1,66
1,82
1,58
0,50
1,72
1,77
0,67
1,66
1,66
1,39
