won,points
"[2, 4, 3, 0, 1]","[30, 24, 72, 35, 60]"
"[3, 2, 4, 0, 1]","[34, 20, 59, 66, 49]"
"[2, 3, 4, 0, 1]","[25, 4, 65, 56, 41]"
"[2, 4, 1, 0, 3]","[24, 37, 79, 22, 55]"
"[2, 4, 3, 0, 1]","[22, -12, 76, 47, 63]"
"[2, 4, 3, 0, 1]","[48, 4, 60, 57, 59]"
"[2, 0, 4, 3, 1]","[60, 21, 61, 39, 55]"
"[2, 4, 0, 3, 1]","[38, 9, 70, 34, 62]"
"[2, 0, 4, 3, 1]","[51, 13, 71, 37, 39]"
"[0, 3, 4, 2, 1]","[92, 7, 57, 74, 65]"
"[2, 3, 0, 4, 1]","[55, -2, 69, 58, 55]"
"[2, 4, 3, 0, 1]","[50, -15, 81, 51, 68]"
"[2, 3, 4, 0, 1]","[41, 16, 88, 74, 46]"
"[2, 4, 0, 3, 1]","[51, -4, 91, 38, 78]"
"[2, 4, 0, 3, 1]","[44, -28, 61, 41, 57]"
"[2, 0, 3, 1, 4]","[54, 26, 85, 41, 15]"
"[0, 3, 4, 2, 1]","[75, -14, 43, 58, 45]"
"[2, 4, 3, 0, 1]","[17, -31, 76, 54, 73]"
"[4, 2, 0, 3, 1]","[58, 7, 84, 26, 93]"
"[2, 3, 4, 0, 1]","[0, -21, 94, 56, 50]"
"[2, 3, 4, 0, 1]","[24, 14, 68, 57, 46]"
"[2, 4, 3, 0, 1]","[36, -13, 61, 39, 44]"
"[2, 4, 0, 3, 1]","[52, 9, 73, 43, 64]"
"[4, 2, 0, 3, 1]","[60, -22, 63, 57, 66]"
"[3, 2, 4, 0, 1]","[23, 10, 62, 70, 51]"
"[2, 4, 0, 3, 1]","[49, -10, 73, 48, 60]"
"[2, 0, 3, 4, 1]","[49, -2, 74, 42, 37]"
"[2, 0, 3, 1, 4]","[48, 21, 52, 46, 9]"
"[4, 0, 2, 3, 1]","[48, 3, 48, 43, 93]"
"[2, 3, 4, 0, 1]","[38, -17, 86, 49, 46]"
"[0, 2, 4, 3, 1]","[78, 7, 64, 34, 47]"
"[2, 3, 4, 0, 1]","[23, -25, 65, 51, 43]"
"[2, 1, 3, 4, 0]","[15, 54, 91, 51, 45]"
"[3, 2, 4, 0, 1]","[30, 11, 50, 58, 50]"
"[2, 3, 0, 1, 4]","[51, 45, 75, 73, 13]"
